MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Sorting,250000.0,power/energy-psys/,0.00,5.5367271900177,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1452.25,6.366947174072266,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,141.46,6.366947174072266,16.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.366947174072266,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1284.23,5.537421941757202,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,124.17,5.537421941757202,16.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.537421941757202,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1285.72,5.554520845413208,16.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,124.51,5.554520845413208,16.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.554520845413208,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1190.01,5.179298400878906,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,115.97,5.179298400878906,20.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.179298400878906,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1198.40,5.158139228820801,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,116.00,5.158139228820801,20.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.158139228820801,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1199.10,5.164566993713379,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,116.08,5.164566993713379,20.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.164566993713379,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1226.92,5.288265943527222,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,118.59,5.288265943527222,20.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.288265943527222,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1201.80,5.16168999671936,20.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,115.78,5.16168999671936,20.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.16168999671936,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1277.95,6.768187046051025,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,150.01,6.768187046051025,24.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.768187046051025,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1131.58,5.9641032218933105,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,132.79,5.9641032218933105,24.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.9641032218933105,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1140.37,6.157884120941162,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,137.06,6.157884120941162,24.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.157884120941162,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1127.16,6.098588466644287,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,135.83,6.098588466644287,24.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.098588466644287,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1133.50,6.119077920913696,24.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,135.75,6.119077920913696,24.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,6.119077920913696,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1111.24,5.89922571182251,28.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,132.11,5.89922571182251,28.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,5.89922571182251,28.0,Parallel std::sort
