MACHINE,NAME,VECTOR_SIZE,LOCALITY,OFFSET,RUNTIME_S
"cx23","No Prefetching",4000000000,-1,2,0.781192
"cx23","No Prefetching",4000000000,-1,2,0.742347
"cx23","No Prefetching",4000000000,-1,2,0.715752
"cx23","No Prefetching",4000000000,-1,2,0.709686
"cx23","No Prefetching",4000000000,-1,2,0.764274
"cx23","No Prefetching",4000000000,-1,2,0.701703
"cx23","No Prefetching",4000000000,-1,2,0.701587
"cx23","No Prefetching",4000000000,-1,2,0.701718
"cx23","No Prefetching",4000000000,-1,2,0.70069
"cx23","No Prefetching",4000000000,-1,2,0.700713
"cx23","No Prefetching",4000000000,-1,2,0.699366
"cx23","No Prefetching",4000000000,-1,2,0.703483
"cx23","No Prefetching",4000000000,-1,2,0.702209
"cx23","No Prefetching",4000000000,-1,2,0.703215
"cx23","No Prefetching",4000000000,-1,4,0.699166
"cx23","No Prefetching",4000000000,-1,4,0.782716
"cx23","No Prefetching",4000000000,-1,4,0.702156
"cx23","No Prefetching",4000000000,-1,4,0.702799
"cx23","No Prefetching",4000000000,-1,4,0.699775
"cx23","No Prefetching",4000000000,-1,4,0.701151
"cx23","No Prefetching",4000000000,-1,4,0.701393
"cx23","No Prefetching",4000000000,-1,4,0.700161
"cx23","No Prefetching",4000000000,-1,4,0.739481
"cx23","No Prefetching",4000000000,-1,4,0.698072
"cx23","No Prefetching",4000000000,-1,4,0.702693
"cx23","No Prefetching",4000000000,-1,4,0.696762
"cx23","No Prefetching",4000000000,-1,4,0.701587
"cx23","No Prefetching",4000000000,-1,4,0.697938
"cx23","No Prefetching",4000000000,-1,4,0.696981
"cx23","No Prefetching",4000000000,-1,4,0.703507
"cx23","No Prefetching",4000000000,-1,4,0.701444
"cx23","No Prefetching",4000000000,-1,4,0.701812
"cx23","No Prefetching",4000000000,-1,4,0.698489
"cx23","No Prefetching",4000000000,-1,4,0.700764
"cx23","No Prefetching",4000000000,-1,4,0.698043
"cx23","No Prefetching",4000000000,-1,4,0.760855
"cx23","No Prefetching",4000000000,-1,4,0.703083
"cx23","No Prefetching",4000000000,-1,4,0.702511
"cx23","No Prefetching",4000000000,-1,4,0.813212
"cx23","No Prefetching",4000000000,-1,4,0.758914
"cx23","No Prefetching",4000000000,-1,4,0.737391
"cx23","No Prefetching",4000000000,-1,4,0.723166
"cx23","No Prefetching",4000000000,-1,4,0.708025
"cx23","No Prefetching",4000000000,-1,4,0.707424
"cx23","No Prefetching",4000000000,-1,4,0.699543
"cx23","No Prefetching",4000000000,-1,4,0.812885
"cx23","No Prefetching",4000000000,-1,4,0.705177
"cx23","No Prefetching",4000000000,-1,4,0.91481
"cx23","No Prefetching",4000000000,-1,4,0.798997
"cx23","No Prefetching",4000000000,-1,4,0.792628
"cx23","No Prefetching",4000000000,-1,4,0.779213
"cx23","No Prefetching",4000000000,-1,4,0.742219
"cx23","No Prefetching",4000000000,-1,4,0.714733
"cx23","No Prefetching",4000000000,-1,4,0.70996
"cx23","No Prefetching",4000000000,-1,4,0.747442
"cx23","No Prefetching",4000000000,-1,4,0.702227
"cx23","No Prefetching",4000000000,-1,4,0.702105
"cx23","No Prefetching",4000000000,-1,4,0.701422
"cx23","No Prefetching",4000000000,-1,4,0.700641
"cx23","No Prefetching",4000000000,-1,4,0.702052
"cx23","No Prefetching",4000000000,-1,4,0.699409
"cx23","No Prefetching",4000000000,-1,4,0.703427
"cx23","No Prefetching",4000000000,-1,4,0.702368
"cx23","No Prefetching",4000000000,-1,4,0.701612
"cx23","No Prefetching",4000000000,-1,8,0.699619
"cx23","No Prefetching",4000000000,-1,8,0.752701
"cx23","No Prefetching",4000000000,-1,8,0.702875
"cx23","No Prefetching",4000000000,-1,8,0.702502
"cx23","No Prefetching",4000000000,-1,8,0.699051
"cx23","No Prefetching",4000000000,-1,8,0.701774
"cx23","No Prefetching",4000000000,-1,8,0.700395
"cx23","No Prefetching",4000000000,-1,8,0.700639
"cx23","No Prefetching",4000000000,-1,8,0.733098
"cx23","No Prefetching",4000000000,-1,8,0.698003
"cx23","No Prefetching",4000000000,-1,8,0.701647
"cx23","No Prefetching",4000000000,-1,8,0.697358
"cx23","No Prefetching",4000000000,-1,8,0.70104
"cx23","No Prefetching",4000000000,-1,8,0.697966
"cx23","No Prefetching",4000000000,-1,8,0.700888
"cx23","No Prefetching",4000000000,-1,8,0.703508
"cx23","No Prefetching",4000000000,-1,8,0.701468
"cx23","No Prefetching",4000000000,-1,8,0.702227
"cx23","No Prefetching",4000000000,-1,8,0.69888
"cx23","No Prefetching",4000000000,-1,8,0.701534
"cx23","No Prefetching",4000000000,-1,8,0.697641
"cx23","No Prefetching",4000000000,-1,8,0.774305
"cx23","No Prefetching",4000000000,-1,8,0.703029
"cx23","No Prefetching",4000000000,-1,8,0.702343
"cx23","No Prefetching",4000000000,-1,8,0.810863
"cx23","No Prefetching",4000000000,-1,8,0.7585
"cx23","No Prefetching",4000000000,-1,8,0.736828
"cx23","No Prefetching",4000000000,-1,8,0.722688
"cx23","No Prefetching",4000000000,-1,8,0.707278
"cx23","No Prefetching",4000000000,-1,8,0.706821
"cx23","No Prefetching",4000000000,-1,8,0.699831
"cx23","No Prefetching",4000000000,-1,8,0.777752
"cx23","No Prefetching",4000000000,-1,8,0.705553
"cx23","No Prefetching",4000000000,-1,8,0.911394
"cx23","No Prefetching",4000000000,-1,8,0.79726
"cx23","No Prefetching",4000000000,-1,8,0.772552
"cx23","No Prefetching",4000000000,-1,8,0.779233
"cx23","No Prefetching",4000000000,-1,8,0.741035
"cx23","No Prefetching",4000000000,-1,8,0.714819
"cx23","No Prefetching",4000000000,-1,8,0.709113
"cx23","No Prefetching",4000000000,-1,8,0.740497
"cx23","No Prefetching",4000000000,-1,8,0.702215
"cx23","No Prefetching",4000000000,-1,8,0.701788
"cx23","No Prefetching",4000000000,-1,8,0.701162
"cx23","No Prefetching",4000000000,-1,8,0.70093
"cx23","No Prefetching",4000000000,-1,8,0.701151
"cx23","No Prefetching",4000000000,-1,8,0.709759
"cx23","No Prefetching",4000000000,-1,8,0.703291
"cx23","No Prefetching",4000000000,-1,8,0.702895
"cx23","No Prefetching",4000000000,-1,8,0.701342
"cx23","No Prefetching",4000000000,-1,16,0.699641
"cx23","No Prefetching",4000000000,-1,16,0.740751
"cx23","No Prefetching",4000000000,-1,16,0.701817
"cx23","No Prefetching",4000000000,-1,16,0.702102
"cx23","No Prefetching",4000000000,-1,16,0.698862
"cx23","No Prefetching",4000000000,-1,16,0.701508
"cx23","No Prefetching",4000000000,-1,16,0.700115
"cx23","No Prefetching",4000000000,-1,16,0.699834
"cx23","No Prefetching",4000000000,-1,16,0.728831
"cx23","No Prefetching",4000000000,-1,16,0.698551
"cx23","No Prefetching",4000000000,-1,16,0.702253
"cx23","No Prefetching",4000000000,-1,16,0.697261
"cx23","No Prefetching",4000000000,-1,16,0.701137
"cx23","No Prefetching",4000000000,-1,16,0.697828
"cx23","No Prefetching",4000000000,-1,16,0.793367
"cx23","No Prefetching",4000000000,-1,16,0.702756
"cx23","No Prefetching",4000000000,-1,16,0.701455
"cx23","No Prefetching",4000000000,-1,16,0.701528
"cx23","No Prefetching",4000000000,-1,16,0.698636
"cx23","No Prefetching",4000000000,-1,16,0.700946
"cx23","No Prefetching",4000000000,-1,16,0.697243
"cx23","No Prefetching",4000000000,-1,16,0.749958
"cx23","No Prefetching",4000000000,-1,16,0.702626
"cx23","No Prefetching",4000000000,-1,16,0.702069
"cx23","No Prefetching",4000000000,-1,16,0.808044
"cx23","No Prefetching",4000000000,-1,16,0.757768
"cx23","No Prefetching",4000000000,-1,16,0.736233
"cx23","No Prefetching",4000000000,-1,16,0.722851
